Subject,Condition,RC,CE,probeACC,probeRT
3,3,RC,CE,1,885.546976
3,3,RC,CE,1,667.6671691
3,1,RC,NonCE,0,1035.756213
3,2,NonRC,NonCE,1,1002.449623
3,3,RC,CE,1,784.3104154
3,3,RC,CE,1,1052.508753
3,4,NonRC,CE,1,802.2876137
3,2,NonRC,NonCE,1,1269.289121
3,2,NonRC,NonCE,1,1102.497391
3,3,RC,CE,1,1502.455034
3,2,NonRC,NonCE,1,934.5595364
3,4,NonRC,CE,1,1502.420406
3,3,RC,CE,0,1753.068831
3,4,NonRC,CE,1,768.748831
3,3,RC,CE,0,885.548831
3,2,NonRC,NonCE,1,1235.819594
3,3,RC,CE,1,1134.854802
3,4,NonRC,CE,1,918.8616038
3,4,NonRC,CE,1,1235.880193
3,2,NonRC,NonCE,0,1269.164831
3,3,RC,CE,0,1886.532947
3,1,RC,NonCE,0,1903.372058
3,1,RC,NonCE,1,752.2272465
3,4,NonRC,CE,0,1119.186242
3,1,RC,NonCE,1,785.5576423
3,2,NonRC,NonCE,1,1584.760889
3,1,RC,NonCE,1,1085.755053
3,2,NonRC,NonCE,1,985.6596715
3,1,RC,NonCE,1,1252.525758
3,2,NonRC,NonCE,1,1336.034937
3,2,NonRC,NonCE,0,2153.535691
3,2,NonRC,NonCE,1,902.1650241
3,1,RC,NonCE,1,1117.83544
3,3,RC,CE,1,1102.346203
3,1,RC,NonCE,1,1502.831614
3,3,RC,CE,1,1152.543536
3,2,NonRC,NonCE,1,1002.298126
3,4,NonRC,CE,1,2754.054802
3,3,RC,CE,1,1151.456155
3,3,RC,CE,1,1202.53001
3,4,NonRC,CE,1,1919.941874
3,4,NonRC,CE,1,1252.578319
3,1,RC,NonCE,0,1786.542068
3,1,RC,NonCE,1,1603.021604
3,2,NonRC,NonCE,1,1669.665082
3,2,NonRC,NonCE,1,1285.014879
3,3,RC,CE,0,1536.200966
3,3,RC,CE,0,952.967111
3,1,RC,NonCE,1,2120.017623
3,1,RC,NonCE,1,2253.713932
3,4,NonRC,CE,1,2553.937932
3,1,RC,NonCE,1,935.5912656
3,4,NonRC,CE,1,1736.366686
3,3,RC,CE,1,1835.538551
3,1,RC,NonCE,1,1235.875247
3,3,RC,CE,1,1619.565758
3,4,NonRC,CE,1,1052.274396
3,1,RC,NonCE,1,1402.798995
3,4,NonRC,CE,1,1119.039072
