Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,2,3,3,2,191,309,500.52344,467.13398,400.413496,417.067723,467.106463,367.326722,3,3,2,3,3,4,j,1,568.722108
1,2,1,1,5,286,317,750.761353,500.521894,467.127487,367.03393,400.353824,433.789661,4,4,3,3,3,4,f,1,985.416653
1,2,0,3,0,284,324,633.91865,600.656263,600.685017,567.2566,400.298481,400.50223,4,3,4,4,4,4,j,1,785.30374
1,2,0,3,4,314,326,750.714049,483.85499,700.865453,567.072639,633.957607,633.972138,4,3,4,4,3,3,f,1,1119.290472
1,2,0,2,0,237,345,700.694168,667.381694,767.456392,650.451989,600.704495,717.343758,4,3,2,4,3,4,j,1,784.097634
1,2,1,2,5,293,347,250.259865,333.722383,733.985618,834.17564,483.821908,650.708916,4,3,2,3,3,4,f,1,801.888712
1,2,3,2,8,254,348,850.852746,567.231866,617.150027,817.619113,450.519946,500.503652,3,3,3,3,3,4,f,1,668.420844
2,2,2,1,1,58,11,333.576451,267.02787,266.921203,350.357751,417.173462,350.210273,3,3,2,4,3,2,j,1,935.424908
2,2,3,2,2,17,15,350.343838,400.429882,333.532238,383.784621,416.921791,750.872657,3,3,2,3,3,4,j,1,1652.796183
2,2,3,2,8,53,18,216.864531,266.943773,300.230586,283.747025,350.283548,333.664567,3,2,2,3,3,3,f,1,918.749965
1,1,1,3,1,122,176,617.219283,433.814395,350.260359,317.05919,550.55847,400.401747,4,2,3,3,4,2,j,1,750.979633
1,1,3,2,2,198,177,750.607073,616.849505,384.162128,567.323383,417.111626,350.432263,3,3,2,3,3,3,j,1,568.274726
2,2,0,1,0,98,21,266.278111,250.951189,250.207304,216.923893,233.643048,316.921296,4,3,2,3,3,3,j,1,1602.631607
2,2,3,3,2,42,49,300.71847,283.611295,367.045679,283.695701,433.746067,416.582003,3,3,2,3,3,3,j,1,735.188324
1,4,0,2,0,305,183,517.172102,633.968737,467.120685,367.155128,383.615191,517.17674,4,4,3,3,3,3,j,1,1268.936431
2,2,0,2,0,76,50,350.357132,266.981184,250.33314,216.847835,517.088005,467.192415,4,3,4,4,3,4,j,1,1702.80957
2,2,2,3,7,11,57,383.799771,417.097095,433.708965,567.225992,500.49716,667.263897,3,3,2,4,3,4,f,1,1569.36891
1,1,1,0,0,268,187,1301.354141,600.601848,517.182923,400.519544,566.871364,534.110774,4,3,1,3,3,3,j,1,1035.489711
1,1,3,1,2,212,191,433.085042,501.186628,566.73347,701.197202,417.330216,333.42248,3,2,1,3,3,3,j,1,801.853465
1,1,3,2,8,207,193,533.953093,517.094189,600.202698,484.295261,583.614325,534.045846,3,3,3,3,3,4,f,1,718.562541
1,1,0,0,3,194,194,533.837151,750.706319,400.44565,400.341148,483.796555,333.673842,4,3,3,4,3,3,f,1,685.160714
