SubjectNo,Subject,Condition,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,1,4,3,111,112,533.8660483,667.3431497,633.9623574,1184.508599,700.7137393,567.1986085,3,3,3,3,3,3,f,1,969.0957295
1,1,3,7,112,174,851.0571592,900.7236329,667.4000388,717.355594,884.2292561,683.9973719,3,3,3,2,3,3,f,1,1019.002126
1,1,3,2,113,135,700.6577777,650.7074784,867.537623,717.3503384,767.3429952,617.4027438,3,3,3,2,3,3,f,1,969.0224542
1,1,4,2,114,134,683.9843865,950.9540482,767.4103961,750.7073237,684.0725024,750.777198,3,3,3,3,3,3,f,1,968.875285
1,1,2,2,115,124,750.8758262,817.4392269,617.2765992,617.3133913,617.4256231,617.1028407,3,3,3,3,3,3,f,1,1202.595246
1,1,1,4,116,126,600.5837296,700.7888695,1901.888309,1051.099826,1434.708097,533.7813334,3,3,2,3,3,3,f,1,969.0274012
1,1,1,7,119,137,633.9898745,700.697971,1234.524135,783.7724444,667.7048889,650.611633,3,3,2,3,3,3,f,1,1301.54172
1,1,4,1,120,102,734.0360966,1234.57144,817.5656812,750.680116,684.0381834,600.1075944,3,3,3,3,3,3,j,1,1052.46114
1,1,2,0,123,119,784.1651014,684.0026281,717.4356715,617.2221836,583.9301257,650.6459515,3,3,3,3,3,3,j,1,2570.595865
1,1,1,1,124,187,767.4224542,567.1840771,1584.946087,850.8861836,667.2655458,667.3007924,3,3,2,3,3,3,j,1,885.4678262
1,1,1,1,126,103,750.7422611,617.2911304,1451.440232,1618.325333,617.2326957,667.3978744,3,3,2,3,3,3,j,1,984.6656618
1,1,4,3,127,125,700.6710726,1134.547478,850.7974492,1384.31258,1318.466783,1000.92599,3,3,3,3,3,3,f,1,935.1602704
1,1,2,1,128,157,734.151111,700.8244251,700.2747054,584.213024,583.9128117,483.8638068,3,3,3,3,3,3,j,1,667.8576232
1,1,1,3,130,153,600.5732175,684.0276716,1117.781024,967.6667054,583.9366184,483.7543576,3,3,2,3,3,3,f,1,1152.469024
1,1,4,7,131,120,684.0381837,984.3713236,683.7206569,751.0455654,700.6954974,734.0599035,3,3,3,3,3,3,f,1,1119.124406
1,1,1,1,132,101,751.1995363,650.5977197,1334.684445,1017.65256,684.0418938,567.2199419,3,3,2,3,3,3,j,1,919.3089856
1,1,2,2,133,127,1034.398609,683.8941062,684.1034205,633.9895651,750.7948214,583.937855,3,3,3,3,3,3,f,1,1085.682087
1,1,1,7,134,140,650.4156135,734.1922319,1351.274048,750.808425,617.3099903,683.6427441,3,3,2,3,3,3,f,1,1435.332638
1,1,2,0,135,181,667.3329468,717.3543575,617.32143,1217.947826,750.3474397,600.9009469,3,3,3,3,3,3,j,1,2403.78342
1,1,2,1,138,167,784.0905893,617.2997875,700.9035749,817.2364058,700.7159034,834.1636327,3,3,3,3,3,3,j,1,902.2617971
1,1,3,3,139,164,950.988058,1134.439575,917.5667632,667.3499516,667.5039227,550.3842321,3,3,3,2,3,3,f,1,1152.516019
1,1,2,6,140,111,1051.197836,834.0430532,684.0332367,683.7682705,967.861797,684.0162319,3,3,3,3,3,3,f,1,1486.176155
1,1,4,1,141,186,767.4419323,983.9805218,767.8107827,700.6621063,1084.569043,633.7885992,3,3,3,3,3,3,j,1,885.4631884
1,1,2,5,143,185,700.6828212,650.627092,650.6855264,567.2115942,1117.841005,617.2138357,3,3,3,3,3,3,f,1,1301.588715
1,1,4,7,144,132,717.277681,901.0037489,1601.540947,684.0517875,784.0983188,583.9635169,3,3,3,3,3,3,f,1,1202.623691
1,1,1,2,145,178,850.8475362,700.6852948,1301.355285,683.9757296,633.9629758,700.7372365,3,3,2,3,3,3,f,1,969.0542994
1,1,1,6,146,107,667.7899132,617.1334491,1267.916058,1184.53086,817.5091015,700.7069371,3,3,2,3,3,3,f,1,1035.716019
1,1,2,0,147,149,633.9642126,600.5954782,700.7282705,533.8156521,734.0629953,617.3384348,3,3,3,3,3,3,j,1,1753.028019
1,1,3,5,148,165,667.3644832,1534.921894,767.3683479,717.3902222,684.0755942,617.2125989,3,3,3,2,3,3,f,1,1119.097507
1,1,4,0,151,171,700.6540676,1034.380676,817.4976618,633.9512269,1101.092792,533.872541,3,3,3,3,3,3,j,1,1619.759923
1,1,3,3,152,183,800.8978551,900.8241161,784.1088308,617.2775265,867.5969855,567.2304542,3,3,3,2,3,3,f,1,1369.390068
1,1,4,2,154,160,633.8903189,850.4017005,651.0348986,667.3511884,750.8467634,550.5224348,3,3,3,3,3,3,f,1,1286.074126
1,1,2,0,155,115,734.1572947,767.3154783,633.96514,567.1825316,567.2375651,667.3737585,3,3,3,3,3,3,j,1,1903.15687
1,1,4,1,156,182,884.1092945,1434.744271,1034.397681,684.0647729,717.3763092,550.5635557,3,3,3,3,3,3,j,1,985.6633816
1,1,3,0,157,172,750.7744154,934.3304348,734.0156909,667.2899709,784.1103768,533.9201547,3,3,3,2,3,3,j,1,1869.7903
1,1,4,1,158,146,750.7308212,917.4387632,684.1071306,633.9515361,600.6551497,617.4318069,3,3,3,3,3,3,j,1,902.2633429
1,1,3,1,161,170,667.3273817,850.9087535,633.9679228,567.2725025,717.2591304,634.0105892,3,3,3,2,3,3,j,1,801.1285025
1,1,4,7,162,142,617.2874204,1233.693681,817.6689467,668.0517877,667.3029563,633.9966764,3,3,3,3,3,3,f,1,868.9969468
1,1,4,0,163,110,800.7203867,817.4961158,2419.116831,1334.717836,700.6154202,633.3263768,3,3,3,3,3,3,j,1,2003.354589
1,1,4,0,164,108,750.7413332,834.2019711,750.7277294,617.2911306,567.1741834,583.9650629,3,3,3,3,3,3,j,1,1469.464116
1,1,4,0,165,114,750.7972945,834.1120002,700.7022994,617.354203,633.8662028,584.0822416,3,3,3,3,3,3,j,1,1819.857314
1,1,4,0,166,180,701.1805989,1184.557449,800.7751112,634.0025507,533.8651207,467.1291981,3,3,3,3,3,3,j,1,1586.289778
1,1,2,3,170,123,650.7730242,1234.58257,1034.289469,650.639768,567.2452948,533.8611014,3,3,3,3,3,3,f,1,1219.249469
1,1,2,1,171,145,600.1768503,584.3577199,533.8465699,533.8332753,567.2502418,517.1589565,3,3,3,3,3,3,j,1,785.4379904
