type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
5,98,경훈이가 수술을 반대하고 대신 약물을 원했다,경훈가 반대한 것은 약물이다.,f,4,0,5
1,99,지영이가 상품을 전달한 병철이가 상자를 꺼냈다,상자를 꺼낸 사람은 병철이다.,j,0,0,3
1,100,상규가 이름을 부른 순희가 손을 들었다,상규가 이름을 적었다.,f,8,3,2
5,101,선호가 인력을 개발하고 보규가 자금을 지원했다,보규가 지원한 것은 인력이다.,f,4,3,1
5,102,유민이가 지도를 접고 사과를 하나 내려놨다,유민이가 내려놓은 것은 지도다.,f,4,0,5
2,103,용수가 날짜를 결정하고 조은이가 계획을 짰다,조은이가 짠 것은 계획이다.,j,1,2,2
2,104,성철이가 벌레를 잡고 재홍이가 구멍을 막았다,구멍을 막은 사람은 성철이다.,f,3,0,1
5,105,민상이가 소아의 수상한 의도를 어렴풋이 짐작했다,민상이가 의도를 짐작했다.,j,2,1,2
5,106,주미가 정상적으로 온몸의 균형 감각을 유지했다,주미가 균형 감각을 유지했다.,j,2,3,4
5,107,안영이가 싸움 끝에 친한 친구와 돌아섰다,친구와 돌아선 사람은 안영이다.,j,0,0,4
5,108,현희가 연경이가 피부에 바른 약을 기억했다,약을 기억한 사람은 연경이다.,f,3,2,0
4,109,해인이가 준모가 그릇을 깨자 의자를 움직였다,해인이가 움직인 것은 의자다.,j,1,1,3
5,110,민하가 휴가 기간에 고향에서 식당을 운영했다,민하가 식당을 운영했다.,j,2,3,4
3,111,동호가 종석이가 노래를 부른 방식을 파악했다,동호가 파악한 것은 방식이다.,j,1,2,1
2,112,혜민이가 가방을 밀고 창호가 택시를 잡았다,창호가 택시를 밀었다.,f,5,1,3
5,113,진태가 복잡한 상황에서 매우 합리적으로 행동했다,진태가 합리적으로 행동했다.,j,2,2,5
5,114,정철이가 결과적으로 동네 이웃들과 편하게 지냈다,정철이가 이웃들과 편하게 지냈다.,j,2,0,5
5,115,치훈이가 만난 길수가 우리나라의 예술을 얘기했다,예술을 얘기한 사람은 치훈이다.,f,3,1,1
5,116,설희가 공원에서 지나가는 아이한테 공을 찼다,설희가 찬 것은 공이다.,j,1,2,4
7,117,정운이가 오늘 드디어 이웃 주민들 사이의 오랜 갈등을 완전히 해결했다,정운이가 해결한 것은 갈등이다.,j,,,
5,118,마리가 학교 발표의 순서를 제멋대로 뒤집었다,마리가 뒤집은 것은 발표 순서다.,j,1,2,4
5,119,혜수가 새로운 정치 세력을 어렵게 형성했다,혜수가 정치 세력을 형성했다.,j,2,3,4
4,120,수현이가 아라가 현실을 부정하자 분노를 표현했다,아라가 부정한 것은 분노다.,f,4,1,0
2,121,영기가 프로그램을 개발하고 자현이가 홍보를 나갔다,홍보를 나간 사람은 가영이다.,f,6,2,2
5,122,아영이가 사장의 질문에 현명한 대답으로 대응했다,대답으로 대응한 사람은 아영이다.,j,0,1,4
5,123,정준이가 일본으로 휴가를 다녀와 피로를 해결했다,피로를 해결한 사람은 호석이다.,f,6,1,5
3,124,정우가 혜영이가 계약을 맺은 회사를 찾아갔다,정우가 찾아간 것은 회사다.,j,1,2,2
7,125,몇 미터 앞의 한 청년이 나무 아래의 뱀으로부터 멀리 도망쳤다,청년이 뱀을 쫒아갔다.,f,,,
3,126,영일이가 준혁이가 고민을 한 흔적을 발견했다,영일이가 고민을 했다.,f,3,0,1
4,127,성은이가 찬호가 씨를 심자 흙을 덮었다,성은이가 덮은 것은 흙이다.,j,1,1,3
5,128,선용이가 혼란을 느끼고 마음의 평화를 유도했다,선용이가 혼란을 유도했다.,f,5,1,5
5,129,희민이가 지구의 대기 변화를 철저히 연구했다,철저히 연구한 사람은 희민이다.,j,0,1,4
4,130,숙희가 민희가 농약을 뿌리자 코를 가렸다,민희가 농약을 뿌렸다.,j,2,3,0
5,131,지희가 과학 시간에 상상력을 마음껏 발휘했다,지희가 발휘한 것은 상상력이다.,j,1,2,4
1,132,정화가 이야기를 들려준 동훈이가 웃음을 터뜨렸다,정화가 들려준 것은 음악이다.,f,7,2,3
1,133,만수가 돈을 모아준 하은이가 비용을 냈다,하은이가 낸 것은 비용이다.,j,1,2,2
3,134,종수가 수연이가 자료를 덧붙인 숙제를 제출했다,자료를 덧붙인 사람은 혜린이다.,f,6,2,2
7,135,영웅이가 그날 이른 새벽에 우연히 군중들의 거친 함성과 열정을 느꼈다,영웅이가 느낀 것은 함성과 열정이다.,j,,,
5,136,정재가 마무리 단계로 준비 상태를 조사했다,정재가 준비 상태를 조사했다.,j,2,3,5
5,137,윤성이가 복잡한 심정으로 우울한 메시지를 전달했다,메시지를 전달한 사람은 윤성이다.,j,0,0,4
2,138,은영이가 밥을 먹고 수민이가 물을 마셨다,밥을 먹은 사람은 은영이다.,j,0,0,0
5,139,태현이가 조직을 위한 과감한 개혁을 추진했다,개혁을 추진한 사람은 태현이다.,j,0,1,5
5,140,윤일이가 여론의 압력 때문에 선거에서 떨어졌다,선거에서 떨어진 사람은 윤일이다.,j,0,0,5
2,141,초롱이가 비행기를 타고 재현이가 기차를 이용했다,재현이가 이용한 것은 비행기다.,f,4,0,3
7,142,호성이가 지난 몇 년간의 공연으로 거리에 따뜻하고 밝은 분위기를 조성했다,밝은 분위기를 조성한 사람은 근태다.,f,,,
1,143,민서가 피해를 입힌 현주가 소송을 진행했다,민서가 입힌 것은 옷이다.,f,7,3,0
5,144,수호가 예민한 경찰에게 신분을 당당히 밝혔다,수호가 밝힌 것은 비밀이다.,f,7,2,5
5,145,도윤이가 기계를 만지다가 손가락을 크게 다쳤다,손가락을 다친 사람은 유식이다.,f,6,1,5
4,146,세윤이가 종원이가 비행기를 무서워하자 배를 구했다,종원이가 무서워한 것은 배다.,f,4,0,3
1,147,성호가 연락을 기다린 영주가 편지를 썼다,성호가 연락을 했다.,f,8,3,1
5,148,은준이가 정책을 검토하고 현실적 대책을 주장했다,은준이가 검토한 것은 대책이다.,f,4,0,5
3,149,재호가 예희가 거래를 제시한 의견을 고려했다,재호가 의견을 주장했다.,f,8,3,2
